573,4,2,10
574,4,4,16
575,6,4,16
576,6,3,12
577,3,4,14
578,3,3,11
579,4,3,16
580,3,4,14
581,4,4,15
690,5,2,6
691,3,2,9
692,5,4,12
693,4,3,15
694,2,4,18
695,3,6,19
696,2,5,26
697,1,4,19
698,4,4,24
699,5,4,14
700,4,4,19
701,5,4,18
702,4,4,15
703,5,4,19
704,4,4,16
705,2,4,15
706,4,4,16
707,5,4,17
708,4,4,15
809,3,2,7
810,4,3,12
811,3,4,20
812,4,3,19
813,4,4,29
814,3,4,25
815,3,5,31
816,3,5,29
817,4,5,27
818,4,5,26
819,4,4,21
820,4,5,26
821,4,6,20
822,4,5,21
823,4,4,18
824,4,4,19
825,4,4,19
826,4,4,17
827,4,4,17
828,4,4,16
927,6,2,4
928,5,3,4
929,3,1,3
930,2,2,12
931,6,3,21
932,1,3,14
933,1,4,31
934,2,4,28
935,4,4,28
936,5,4,29
937,5,5,34
938,4,5,34
939,5,5,35
940,4,5,26
941,5,5,24
942,4,4,25
943,5,4,24
944,4,4,20
945,5,4,18
946,4,4,20
947,5,4,19
948,4,3,14
949,5,3,10
1045,3,2,5
1046,0,0,2
1047,6,2,9
1048,4,1,5
1049,3,2,16
1050,3,3,16
1051,6,4,25
1052,6,4,32
1053,1,4,28
1054,3,4,29
1055,4,6,35
1056,4,4,33
1057,4,4,28
1058,4,4,30
1059,4,5,34
1060,4,5,29
1061,4,4,24
1062,4,4,26
1063,4,4,27
1064,4,4,22
1065,4,4,18
1066,4,4,18
1067,4,3,16
1068,4,4,15
1069,4,3,8
1164,5,2,5
1165,3,2,15
1166,2,2,16
1167,3,3,17
1168,2,4,17
1169,3,4,28
1170,2,4,30
1171,6,4,35
1172,2,4,34
1173,1,5,39
1174,2,5,38
1175,4,4,32
1176,2,5,31
1177,5,5,30
1178,4,4,32
1179,2,4,31
1180,4,5,38
1181,5,4,32
1182,4,4,33
1183,5,4,24
1184,4,4,23
1185,5,4,22
1186,4,4,21
1187,5,5,20
1188,4,3,13
1189,5,2,4
1281,4,1,2
1283,4,0,1
1284,4,5,10
1285,3,3,21
1286,4,3,23
1287,3,4,27
1288,3,4,22
1289,3,4,34
1290,3,3,30
1291,6,5,40
1292,6,4,34
1293,1,4,41
1294,3,4,33
1295,4,5,42
1296,4,5,42
1297,4,5,35
1298,4,4,30
1299,4,6,36
1300,4,5,36
1301,4,4,27
1302,4,5,31
1303,4,4,26
1304,4,4,26
1305,4,4,21
1306,4,4,26
1307,4,4,18
1308,4,4,17
1309,4,3,11
1358,2,3,10
1359,1,3,10
1360,2,3,12
1361,1,3,6
1362,2,2,3
1364,1,1,1
1365,1,2,3
1366,1,1,1
1367,1,3,4
1368,1,2,2
1369,1,3,3
1370,1,3,8
1371,2,5,7
1372,6,3,8
1373,5,4,12
1374,3,4,18
1375,5,4,19
1376,4,3,10
1377,2,4,15
1378,2,4,16
1379,4,4,20
1399,2,5,32
1400,4,3,9
1401,5,1,4
1403,5,3,8
1404,5,5,28
1405,4,5,29
1406,5,4,39
1407,3,5,41
1408,5,4,43
1409,3,4,32
1410,5,4,36
1411,6,4,42
1412,2,4,40
1413,6,4,40
1414,2,4,43
1415,4,4,46
1416,2,4,39
1417,2,4,34
1418,6,5,42
1419,2,5,29
1420,4,5,37
1421,5,4,37
1422,4,5,31
1423,5,4,27
1424,4,4,29
1425,5,4,26
1426,4,5,25
1427,5,4,21
1428,4,4,23
1429,5,3,8
1472,4,3,9
1473,3,4,11
1474,4,3,7
1475,3,3,4
1476,4,3,6
1477,6,2,3
1478,3,2,4
1479,3,4,13
1480,3,3,11
1481,6,3,5
1482,6,3,4
1485,6,1,1
1486,2,2,3
1487,6,3,4
1488,1,4,6
1489,6,3,7
1490,6,1,2
1491,3,4,9
1492,3,3,10
1493,4,5,16
1494,4,3,14
1495,4,3,11
1496,4,4,17
1497,4,4,15
1498,4,4,19
1499,4,4,24
1500,4,5,23
1514,4,5,36
1515,4,5,29
1516,4,5,25
1517,4,5,26
1518,4,4,33
1519,4,5,35
1520,4,5,30
1521,4,3,7
1522,4,1,5
1523,4,3,10
1524,4,3,18
1525,4,4,33
1526,4,4,41
1527,3,4,42
1528,4,5,48
1529,3,5,44
1530,4,4,40
1531,3,4,46
1532,4,4,40
1533,3,5,48
1534,3,4,44
1535,4,6,45
1536,4,5,45
1537,4,5,44
1538,6,4,41
1539,4,5,35
1540,4,6,38
1541,4,5,36
1542,4,5,30
1543,4,4,30
1544,4,4,35
1545,4,4,25
1546,4,4,27
1547,4,4,27
1548,4,4,23
1549,4,3,11
1572,2,3,9
1573,3,2,6
1574,2,2,7
1575,4,2,5
1576,5,4,11
1577,4,4,12
1578,5,5,13
1590,4,4,17
1591,5,4,18
1592,5,4,15
1593,3,4,14
1594,5,4,12
1595,3,3,11
1596,5,3,9
1597,6,3,9
1598,2,3,6
1599,3,3,8
1600,2,3,7
1601,6,3,7
1602,2,2,6
1603,6,3,4
1604,2,2,2
1605,2,2,4
1606,2,3,7
1607,2,3,5
1608,1,4,12
1609,2,4,10
1610,6,3,6
1611,2,4,8
1612,3,5,10
1613,5,4,10
1614,3,3,9
1615,2,3,12
1616,4,4,18
1617,5,4,16
1618,5,4,23
1619,4,4,16
1620,5,5,23
1621,4,4,22
1629,4,5,23
1630,5,5,22
1631,5,5,24
1632,4,5,36
1633,5,5,39
1634,4,5,38
1635,5,5,35
1636,4,5,31
1637,5,4,26
1638,4,4,24
1639,5,4,26
1640,4,5,37
1641,5,4,22
1642,4,2,18
1643,5,4,18
1644,5,3,22
1645,4,4,39
1646,5,6,38
1647,4,4,39
1648,5,4,40
1649,3,4,44
1650,2,4,42
1651,3,5,39
1652,2,4,40
1653,3,5,51
1654,2,5,54
1655,4,5,49
1656,2,5,49
1657,2,5,47
1658,6,5,41
1659,2,5,40
1660,4,5,36
1661,2,4,37
1662,3,4,35
1663,5,5,33
1664,4,5,34
1665,5,4,31
1666,4,4,31
1667,5,4,29
1668,3,4,20
1669,5,3,17
1690,5,1,8
1691,3,2,4
1692,5,4,10
1693,3,3,6
1694,5,2,9
1695,4,4,14
1696,5,4,13
1697,4,5,21
1698,5,4,12
1699,5,3,13
1709,5,4,11
1710,4,4,22
1711,5,5,27
1712,5,5,21
1713,3,5,21
1714,2,3,10
1715,3,4,13
1716,5,3,14
1717,3,4,15
1718,2,4,14
1719,3,4,14
1720,5,4,10
1721,4,3,9
1722,5,4,12
1723,3,2,4
1724,5,4,11
1725,2,2,5
1726,3,4,13
1727,2,4,14
1728,6,4,10
1729,2,4,12
1730,3,5,21
1731,5,5,16
1732,4,4,18
1733,5,3,9
1734,4,3,9
1735,5,4,14
1736,4,4,16
1737,5,4,21
1738,5,4,21
1739,4,5,26
1740,5,4,13
1741,4,4,22
1742,5,4,12
1743,4,3,6
1747,4,3,17
1748,5,4,18
1749,4,4,20
1750,5,3,11
1751,5,4,23
1752,4,4,29
1753,5,5,32
1754,4,5,29
1755,5,4,23
1756,4,4,23
1757,5,4,23
1758,4,4,22
1759,5,4,25
1760,4,5,32
1761,5,5,36
1762,4,4,24
1763,5,4,28
1764,5,3,28
1765,4,4,37
1766,5,4,43
1767,4,4,44
1768,5,5,42
1769,4,4,41
1770,2,4,35
1771,3,4,35
1772,5,4,46
1773,3,4,45
1774,5,4,49
1775,4,5,41
1776,2,5,41
1777,2,5,41
1778,6,5,32
1779,2,5,35
1780,4,5,43
1781,5,5,36
1782,4,5,36
1783,5,5,35
1784,4,4,31
1785,5,4,32
1786,4,4,28
1787,5,4,28
1788,4,4,28
1789,2,3,15
1808,4,3,10
1809,4,2,8
1810,4,2,6
1811,3,2,12
1812,4,3,12
1813,3,3,10
1814,4,4,12
1815,4,4,18
1816,4,4,16
1817,4,4,16
1818,4,5,19
1819,4,4,16
1828,4,3,10
1829,4,4,20
1830,4,4,22
1831,4,4,29
1832,4,4,20
1833,3,4,20
1834,4,5,15
1835,3,3,11
1836,4,3,12
1837,3,4,12
1838,4,3,14
1839,3,4,14
1840,4,4,18
1841,4,4,20
1842,4,4,15
1843,4,4,17
1844,4,4,9
1845,4,2,5
1846,3,3,10
1847,3,4,15
1848,6,5,23
1849,3,4,16
1850,3,4,13
1851,4,5,16
1852,4,4,13
1853,4,4,15
1854,4,4,12
1855,4,3,10
1856,4,4,20
1857,4,4,22
1858,4,5,23
1859,4,4,18
1860,4,4,14
1861,4,4,21
1862,4,2,5
1863,4,3,4
1864,4,1,2
1865,4,2,6
1866,4,4,23
1867,4,3,17
1868,4,4,25
1869,4,4,29
1870,4,3,18
1871,4,4,24
1872,4,3,19
1873,4,4,19
1874,4,3,16
1875,4,3,17
1876,4,4,27
1877,4,4,25
1878,4,4,21
1879,4,4,23
1880,4,4,27
1881,4,4,36
1882,4,4,24
1883,4,4,22
1884,4,4,31
1885,4,4,44
1886,4,4,38
1887,4,4,46
1888,4,4,42
1889,3,4,36
1890,4,4,38
1891,3,4,39
1892,4,4,38
1893,3,4,42
1894,3,5,44
1895,4,6,44
1896,4,5,39
1897,4,5,35
1898,6,5,31
1899,4,5,30
1900,4,7,37
1901,4,5,35
1902,4,5,36
1903,4,5,32
1904,4,4,32
1905,4,4,28
1906,4,4,33
1907,4,4,35
1908,4,4,28
1909,4,3,16
1926,1,1,12
1927,6,1,6
